Symbol,Time,Avg_volume
MU,00:00,0.0
MU,00:02,463.5
MU,00:04,540.25
MU,00:06,644.25
MU,00:08,312.25
MU,00:10,514.75
MU,00:12,606.25
MU,00:14,151.25
MU,00:16,121.5
MU,00:18,242.75
MU,00:20,334.0
MU,00:22,75.0
MU,00:24,1037.25
MU,00:26,502.0
MU,00:28,50.0
MU,00:30,311.75
MU,00:32,75.0
MU,00:34,157.5
MU,00:36,1191.25
MU,00:38,514.75
MU,00:40,141.0
MU,00:42,574.25
MU,00:44,370.0
MU,00:46,789.75
MU,00:48,313.0
MU,00:50,135.75
MU,00:52,1043.75
MU,00:54,1409.75
MU,00:56,562.5
MU,00:58,1000.0
MU,01:00,330.75
MU,01:02,75.0
MU,01:04,374.0
MU,01:06,411.0
MU,01:08,0.0
MU,01:10,242.5
MU,01:12,0.0
MU,01:14,2966.25
MU,01:16,363.5
MU,01:18,522.5
MU,01:20,25.0
MU,01:22,81.25
MU,01:24,333.0
MU,01:26,117.5
MU,01:28,432.75
MU,01:30,75.25
MU,01:32,172.0
MU,01:34,39.75
MU,01:36,374.25
MU,01:38,25.0
MU,01:40,150.0
MU,01:42,326.0
MU,01:44,58.0
MU,01:46,156.25
MU,01:48,425.0
MU,01:50,113.0
MU,01:52,71.25
MU,01:54,930.5
MU,01:56,175.0
MU,01:58,0.0
MU,02:00,1074.75
MU,02:02,0.0
MU,02:04,240.75
MU,02:06,250.0
MU,02:08,82.5
MU,02:10,140.0
MU,02:12,175.0
MU,02:14,158.0
MU,02:16,125.25
MU,02:18,50.0
MU,02:20,200.0
MU,02:22,124.25
MU,02:24,525.0
MU,02:26,50.0
MU,02:28,140.0
MU,02:30,528.0
MU,02:32,473.75
MU,02:34,370.25
MU,02:36,426.5
MU,02:38,180.0
MU,02:40,40.5
MU,02:42,176.5
MU,02:44,314.75
MU,02:46,663.5
MU,02:48,359.25
MU,02:50,345.25
MU,02:52,525.5
MU,02:54,120.0
MU,02:56,475.0
MU,02:58,551.25
MU,11:00,944.3333333333334
MU,11:02,715.2
MU,11:04,166.6
MU,11:06,157.8
MU,11:08,296.2
MU,11:10,584.6
MU,11:12,443.2
MU,11:14,210.2
MU,11:16,565.8
MU,11:18,142.4
MU,11:20,20.0
MU,11:22,545.8
MU,11:24,378.8
MU,11:26,183.2
MU,11:28,47.0
MU,11:30,123.8
MU,11:32,3176.8
MU,11:34,1524.0
MU,11:36,1230.4
MU,11:38,399.6
MU,11:40,771.6
MU,11:42,703.6
MU,11:44,26.0
MU,11:46,513.4
MU,11:48,166.4
MU,11:50,130.0
MU,11:52,202.0
MU,11:54,20.0
MU,11:56,488.4
MU,11:58,110.6
MU,12:00,104.0
MU,12:02,213.4
MU,12:04,824.2
MU,12:06,26.0
MU,12:08,156.0
MU,12:10,971.4
MU,12:12,500.8
MU,12:14,49.0
MU,12:16,146.0
MU,12:18,28.0
MU,12:20,1264.2
MU,12:22,442.8
MU,12:24,365.0
MU,12:26,1208.8
MU,12:28,661.4
MU,12:30,144.8
MU,12:32,117.0
MU,12:34,361.0
MU,12:36,186.6
MU,12:38,965.6
MU,12:40,429.4
MU,12:42,874.8
MU,12:44,579.0
MU,12:46,1731.0
MU,12:48,746.2
MU,12:50,2459.2
MU,12:52,887.4
MU,12:54,513.2
MU,12:56,216.0
MU,12:58,504.6
MU,13:00,140.0
MU,13:02,153.6
MU,13:04,67.8
MU,13:06,300.4
MU,13:08,232.4
MU,13:10,106.4
MU,13:12,20.0
MU,13:14,411.0
MU,13:16,30.0
MU,13:18,0.0
MU,13:20,0.0
MU,13:22,0.0
MU,13:24,126.0
MU,13:26,90.0
MU,13:28,0.0
MU,13:30,94.0
MU,13:32,501.2
MU,13:34,280.25
MU,13:36,0.0
MU,13:38,200.5
MU,13:40,75.0
