Symbol,Date,Time,Volume,Avg_volume,Rvol
AMD,2025-08-20,11:00,7944.0,4342.6,1.83
AMD,2025-08-20,11:02,1866.0,964.2,1.94
AMD,2025-08-20,11:04,373.0,1766.4,0.21
AMD,2025-08-20,11:06,895.0,1318.2,0.68
AMD,2025-08-20,11:08,1178.0,2809.8,0.42
AMD,2025-08-20,11:10,1928.0,3807.0,0.51
AMD,2025-08-20,11:12,1688.0,1268.4,1.33
AMD,2025-08-20,11:14,519.0,731.2,0.71
AMD,2025-08-20,11:16,628.0,929.0,0.68
AMD,2025-08-20,11:18,2731.0,1131.4,2.41
AMD,2025-08-20,11:20,500.0,990.2,0.5
AMD,2025-08-20,11:22,2635.0,1471.6,1.79
AMD,2025-08-20,11:24,777.0,841.4,0.92
AMD,2025-08-20,11:26,300.0,362.0,0.83
AMD,2025-08-20,11:28,676.0,1366.6,0.49
AMD,2025-08-20,11:30,952.0,1235.8,0.77
AMD,2025-08-20,11:32,6996.0,2249.4,3.11
AMD,2025-08-20,11:34,1388.0,1718.8,0.81
AMD,2025-08-20,11:36,3753.0,1384.2,2.71
AMD,2025-08-20,11:38,9644.0,2462.4,3.92
AMD,2025-08-20,11:40,2019.0,757.4,2.67
AMD,2025-08-20,11:42,3721.0,1008.8,3.69
AMD,2025-08-20,11:44,2098.0,1712.2,1.23
AMD,2025-08-20,11:46,1860.0,1080.4,1.72
AMD,2025-08-20,11:48,1792.0,824.4,2.17
AMD,2025-08-20,11:50,926.0,602.2,1.54
AMD,2025-08-20,11:52,1381.0,352.4,3.92
AMD,2025-08-20,11:54,300.0,229.2,1.31
AMD,2025-08-20,11:56,0.0,2357.4,0.0
AMD,2025-08-20,11:58,1993.0,597.4,3.34
AMD,2025-08-20,12:00,640.0,301.8,2.12
AMD,2025-08-20,12:02,885.0,601.4,1.47
AMD,2025-08-20,12:04,1405.0,761.2,1.85
AMD,2025-08-20,12:06,4685.0,1360.6,3.44
AMD,2025-08-20,12:08,2261.0,1703.4,1.33
AMD,2025-08-20,12:10,250.0,592.2,0.42
AMD,2025-08-20,12:12,2247.0,587.0,3.83
AMD,2025-08-20,12:14,709.0,760.8,0.93
AMD,2025-08-20,12:16,957.0,1984.0,0.48
AMD,2025-08-20,12:18,1242.0,1303.6,0.95
AMD,2025-08-20,12:20,1829.0,5432.0,0.34
AMD,2025-08-20,12:22,2811.0,1553.4,1.81
AMD,2025-08-20,12:24,0.0,2241.4,0.0
AMD,2025-08-20,12:26,361.0,376.0,0.96
AMD,2025-08-20,12:28,18313.0,4732.6,3.87
AMD,2025-08-20,12:30,1228.0,1400.4,0.88
AMD,2025-08-20,12:32,9147.0,2463.6,3.71
AMD,2025-08-20,12:34,125.0,688.2,0.18
AMD,2025-08-20,12:36,805.0,1838.6,0.44
AMD,2025-08-20,12:38,7288.0,3642.2,2.0
AMD,2025-08-20,12:40,203.0,946.6,0.21
AMD,2025-08-20,12:42,2934.0,2247.6,1.31
AMD,2025-08-20,12:44,5773.0,2450.2,2.36
AMD,2025-08-20,12:46,1712.0,645.2,2.65
AMD,2025-08-20,12:48,2103.0,1824.2,1.15
AMD,2025-08-20,12:50,2279.0,2162.8,1.05
AMD,2025-08-20,12:52,778.0,1130.6,0.69
AMD,2025-08-20,12:54,120.0,607.0,0.2
AMD,2025-08-20,12:56,945.0,382.2,2.47
AMD,2025-08-20,12:58,258.0,444.8,0.58
AMD,2025-08-20,13:00,100.0,222.0,0.45
AMD,2025-08-20,13:02,6784.0,6626.4,1.02
AMD,2025-08-20,13:04,1897.0,2699.6,0.7
AMD,2025-08-20,13:06,0.0,2711.6,0.0
AMD,2025-08-20,13:08,6576.0,3342.8,1.97
AMD,2025-08-20,13:10,1905.0,1625.2,1.17
AMD,2025-08-20,13:12,278.0,165.0,1.68
AMD,2025-08-20,13:14,1555.0,995.2,1.56
AMD,2025-08-20,13:16,0.0,522.4,0.0
AMD,2025-08-20,13:18,1712.0,456.4,3.75
AMD,2025-08-20,13:20,1279.0,952.8,1.34
