Symbol,Date,Time,Volume,Avg_volume,Rvol
BMNR,2025-08-20,11:00,48243.0,29159.8,1.65
BMNR,2025-08-20,11:02,10383.0,15946.0,0.65
BMNR,2025-08-20,11:04,5562.0,12267.2,0.45
BMNR,2025-08-20,11:06,9605.0,6574.4,1.46
BMNR,2025-08-20,11:08,2254.0,4853.8,0.46
BMNR,2025-08-20,11:10,4065.0,5194.4,0.78
BMNR,2025-08-20,11:12,3636.0,3516.8,1.03
BMNR,2025-08-20,11:14,4029.0,4428.2,0.91
BMNR,2025-08-20,11:16,5771.0,4121.2,1.4
BMNR,2025-08-20,11:18,7938.0,5214.8,1.52
BMNR,2025-08-20,11:20,5957.0,5549.6,1.07
BMNR,2025-08-20,11:22,4473.0,7740.6,0.58
BMNR,2025-08-20,11:24,5364.0,9326.0,0.58
BMNR,2025-08-20,11:26,2308.0,8030.8,0.29
BMNR,2025-08-20,11:28,4152.0,4537.8,0.91
BMNR,2025-08-20,11:30,2451.0,3335.6,0.73
BMNR,2025-08-20,11:32,3240.0,3828.2,0.85
BMNR,2025-08-20,11:34,2104.0,2713.2,0.78
BMNR,2025-08-20,11:36,3112.0,2310.6,1.35
BMNR,2025-08-20,11:38,4251.0,2418.8,1.76
BMNR,2025-08-20,11:40,400.0,3245.6,0.12
BMNR,2025-08-20,11:42,1505.0,2511.8,0.6
BMNR,2025-08-20,11:44,23315.0,6490.6,3.59
BMNR,2025-08-20,11:46,16870.0,5945.6,2.84
BMNR,2025-08-20,11:48,11732.0,4059.4,2.89
BMNR,2025-08-20,11:50,10171.0,5058.4,2.01
BMNR,2025-08-20,11:52,8014.0,4032.2,1.99
BMNR,2025-08-20,11:54,12521.0,4284.8,2.92
BMNR,2025-08-20,11:56,5176.0,2458.4,2.11
BMNR,2025-08-20,11:58,1367.0,1681.8,0.81
BMNR,2025-08-20,12:00,2445.0,1814.2,1.35
BMNR,2025-08-20,12:02,2952.0,2823.0,1.05
BMNR,2025-08-20,12:04,2483.0,2671.2,0.93
BMNR,2025-08-20,12:06,844.0,1882.6,0.45
BMNR,2025-08-20,12:08,1781.0,1439.4,1.24
BMNR,2025-08-20,12:10,1839.0,1639.8,1.12
BMNR,2025-08-20,12:12,4133.0,5962.4,0.69
BMNR,2025-08-20,12:14,5496.0,5076.6,1.08
BMNR,2025-08-20,12:16,3376.0,5307.4,0.64
BMNR,2025-08-20,12:18,7259.0,3995.4,1.82
BMNR,2025-08-20,12:20,1517.0,4827.6,0.31
BMNR,2025-08-20,12:22,3318.0,1975.0,1.68
BMNR,2025-08-20,12:24,44789.0,11934.0,3.75
BMNR,2025-08-20,12:26,47313.0,11200.4,4.22
BMNR,2025-08-20,12:28,30671.0,8212.0,3.73
BMNR,2025-08-20,12:30,7352.0,3383.8,2.17
BMNR,2025-08-20,12:32,3743.0,2321.2,1.61
BMNR,2025-08-20,12:34,1964.0,2911.6,0.67
BMNR,2025-08-20,12:36,5794.0,2889.4,2.01
BMNR,2025-08-20,12:38,2162.0,2579.6,0.84
BMNR,2025-08-20,12:40,7970.0,2923.6,2.73
BMNR,2025-08-20,12:42,2917.0,2138.0,1.36
BMNR,2025-08-20,12:44,1763.0,4420.6,0.4
BMNR,2025-08-20,12:46,5832.0,2824.2,2.07
BMNR,2025-08-20,12:48,999.0,3928.8,0.25
BMNR,2025-08-20,12:50,3916.0,5481.4,0.71
BMNR,2025-08-20,12:52,11899.0,3679.4,3.23
BMNR,2025-08-20,12:54,2348.0,2460.8,0.95
BMNR,2025-08-20,12:56,364.0,695.4,0.52
BMNR,2025-08-20,12:58,0.0,713.4,0.0
BMNR,2025-08-20,13:00,1773.0,1855.0,0.96
BMNR,2025-08-20,13:02,400.0,1318.8,0.3
BMNR,2025-08-20,13:04,2983.0,1789.4,1.67
BMNR,2025-08-20,13:06,2569.0,4213.6,0.61
BMNR,2025-08-20,13:08,1513.0,6576.8,0.23
BMNR,2025-08-20,13:10,3241.0,1472.4,2.2
BMNR,2025-08-20,13:12,10924.0,4514.0,2.42
BMNR,2025-08-20,13:14,649.0,2150.0,0.3
BMNR,2025-08-20,13:16,1622.0,839.8,1.93
BMNR,2025-08-20,13:18,1035.0,1697.8,0.61
BMNR,2025-08-20,13:20,2042.0,814.4,2.51
BMNR,2025-08-20,13:22,327.0,774.8,0.42
BMNR,2025-08-20,13:24,1938.0,1268.6,1.53
BMNR,2025-08-20,13:26,3687.0,1374.2,2.68
BMNR,2025-08-20,13:28,8672.0,6436.4,1.35
BMNR,2025-08-20,13:30,2480.0,1298.6,1.91
BMNR,2025-08-20,13:32,3195.0,3492.2,0.91
BMNR,2025-08-20,13:34,11651.0,3508.0,3.32
BMNR,2025-08-20,13:36,13801.0,4619.0,2.99
BMNR,2025-08-20,13:38,5694.0,2930.0,1.94
BMNR,2025-08-20,13:40,4524.0,7034.2,0.64
BMNR,2025-08-20,13:42,562.0,7336.0,0.08
BMNR,2025-08-20,13:44,1431.0,7289.8,0.2
BMNR,2025-08-20,13:46,3813.0,5314.4,0.72
