Symbol,Date,Time,Volume,Avg_volume,Rvol
IONQ,2025-08-20,11:00,4414.0,1938.4,2.28
IONQ,2025-08-20,11:02,4068.0,1919.4,2.12
IONQ,2025-08-20,11:04,1403.0,1332.6,1.05
IONQ,2025-08-20,11:06,820.0,519.2,1.58
IONQ,2025-08-20,11:08,710.0,591.4,1.2
IONQ,2025-08-20,11:10,7584.0,1933.8,3.92
IONQ,2025-08-20,11:12,8496.0,2557.4,3.32
IONQ,2025-08-20,11:14,2413.0,1703.6,1.42
IONQ,2025-08-20,11:16,2244.0,629.0,3.57
IONQ,2025-08-20,11:18,507.0,213.4,2.38
IONQ,2025-08-20,11:20,1142.0,420.2,2.72
IONQ,2025-08-20,11:22,1077.0,311.4,3.46
IONQ,2025-08-20,11:24,100.0,953.0,0.1
IONQ,2025-08-20,11:26,7107.0,1667.2,4.26
IONQ,2025-08-20,11:28,592.0,372.6,1.59
IONQ,2025-08-20,11:30,3481.0,787.8,4.42
IONQ,2025-08-20,11:32,1339.0,721.6,1.86
IONQ,2025-08-20,11:34,113.0,240.2,0.47
IONQ,2025-08-20,11:36,1487.0,397.4,3.74
IONQ,2025-08-20,11:38,2164.0,932.8,2.32
IONQ,2025-08-20,11:40,3006.0,2633.2,1.14
IONQ,2025-08-20,11:42,985.0,363.2,2.71
IONQ,2025-08-20,11:44,831.0,783.2,1.06
IONQ,2025-08-20,11:46,1970.0,747.4,2.64
IONQ,2025-08-20,11:48,644.0,278.0,2.32
IONQ,2025-08-20,11:50,1886.0,417.2,4.52
IONQ,2025-08-20,11:52,1257.0,1028.8,1.22
IONQ,2025-08-20,11:54,3389.0,1305.4,2.6
IONQ,2025-08-20,11:56,1483.0,558.6,2.65
IONQ,2025-08-20,11:58,100.0,310.4,0.32
IONQ,2025-08-20,12:00,3041.0,1108.2,2.74
IONQ,2025-08-20,12:02,1883.0,376.6,5.0
IONQ,2025-08-20,12:04,1403.0,360.6,3.89
IONQ,2025-08-20,12:06,200.0,412.2,0.49
IONQ,2025-08-20,12:08,335.0,107.0,3.13
IONQ,2025-08-20,12:10,1530.0,535.8,2.86
IONQ,2025-08-20,12:12,239.0,414.0,0.58
IONQ,2025-08-20,12:14,2776.0,642.6,4.32
IONQ,2025-08-20,12:16,0.0,112.0,0.0
IONQ,2025-08-20,12:18,0.0,1247.0,0.0
IONQ,2025-08-20,12:20,0.0,248.0,0.0
IONQ,2025-08-20,12:22,400.0,230.0,1.74
IONQ,2025-08-20,12:24,5446.0,2011.0,2.71
IONQ,2025-08-20,12:26,481.0,887.4,0.54
IONQ,2025-08-20,12:28,633.0,216.6,2.92
IONQ,2025-08-20,12:30,100.0,203.8,0.49
IONQ,2025-08-20,12:32,1369.0,714.0,1.92
IONQ,2025-08-20,12:34,6698.0,1528.4,4.38
IONQ,2025-08-20,12:36,718.0,786.4,0.91
IONQ,2025-08-20,12:38,100.0,100.0,1.0
IONQ,2025-08-20,12:40,593.0,266.8,2.22
IONQ,2025-08-20,12:42,2772.0,952.2,2.91
IONQ,2025-08-20,12:44,713.0,401.8,1.77
IONQ,2025-08-20,12:46,909.0,472.8,1.92
IONQ,2025-08-20,12:48,0.0,209.6,0.0
IONQ,2025-08-20,12:50,0.0,2524.4,0.0
IONQ,2025-08-20,12:52,100.0,835.8,0.12
IONQ,2025-08-20,12:54,689.0,137.8,5.0
IONQ,2025-08-20,12:56,100.0,94.6,1.06
IONQ,2025-08-20,12:58,1000.0,363.4,2.75
IONQ,2025-08-20,13:00,0.0,147.2,0.0
IONQ,2025-08-20,13:02,1017.0,243.4,4.18
IONQ,2025-08-20,13:04,8013.0,2039.8,3.93
IONQ,2025-08-20,13:06,100.0,206.6,0.48
IONQ,2025-08-20,13:08,313.0,516.8,0.61
IONQ,2025-08-20,13:10,0.0,244.0,0.0
IONQ,2025-08-20,13:12,294.0,102.6,2.87
IONQ,2025-08-20,13:14,0.0,924.0,0.0
IONQ,2025-08-20,13:16,188.0,262.8,0.72
IONQ,2025-08-20,13:18,356.0,131.2,2.71
IONQ,2025-08-20,13:20,297.0,310.2,0.96
IONQ,2025-08-20,13:22,1538.0,521.0,2.95
IONQ,2025-08-20,13:24,300.0,513.6,0.58
IONQ,2025-08-20,13:26,100.0,644.8,0.16
IONQ,2025-08-20,13:28,620.0,565.2,1.1
IONQ,2025-08-20,13:30,750.0,539.2,1.39
IONQ,2025-08-20,13:32,5479.0,1238.2,4.42
IONQ,2025-08-20,13:34,601.0,4249.2,0.14
IONQ,2025-08-20,13:36,100.0,3664.0,0.03
IONQ,2025-08-20,13:38,1580.0,10034.4,0.16
IONQ,2025-08-20,13:40,1634.0,6958.8,0.23
IONQ,2025-08-20,13:42,416.0,587.4,0.71
IONQ,2025-08-20,13:44,993.0,329.6,3.01
IONQ,2025-08-20,13:46,700.0,552.2,1.27
IONQ,2025-08-20,13:48,1548.0,698.2,2.22
IONQ,2025-08-20,13:50,622.0,202.4,3.07
IONQ,2025-08-20,13:52,110.0,62.0,1.77
IONQ,2025-08-20,13:54,226.0,851.8,0.27
IONQ,2025-08-20,13:56,1845.0,1198.2,1.54
IONQ,2025-08-20,13:58,100.0,60.0,1.67
IONQ,2025-08-20,14:00,1975.0,953.8,2.07
IONQ,2025-08-20,14:02,1795.0,606.4,2.96
IONQ,2025-08-20,14:04,4795.0,1691.0,2.84
IONQ,2025-08-20,14:06,3412.0,1573.2,2.17
IONQ,2025-08-20,14:08,100.0,1461.0,0.07
IONQ,2025-08-20,14:10,1255.0,500.4,2.51
IONQ,2025-08-20,14:12,2012.0,402.4,5.0
IONQ,2025-08-20,14:14,0.0,308.0,0.0
