Symbol,Date,Time,Volume,Avg_volume,Rvol
IREN,2025-08-20,11:00,15629.0,6642.2,2.35
IREN,2025-08-20,11:02,10947.0,4756.4,2.3
IREN,2025-08-20,11:04,7441.0,2734.6,2.72
IREN,2025-08-20,11:06,0.0,1936.4,0.0
IREN,2025-08-20,11:08,100.0,2376.6,0.04
IREN,2025-08-20,11:10,9237.0,2258.8,4.09
IREN,2025-08-20,11:12,1200.0,798.0,1.5
IREN,2025-08-20,11:14,2014.0,1278.2,1.58
IREN,2025-08-20,11:16,1630.0,899.4,1.81
IREN,2025-08-20,11:18,0.0,356.6,0.0
IREN,2025-08-20,11:20,4919.0,1698.8,2.9
IREN,2025-08-20,11:22,1351.0,1992.2,0.68
IREN,2025-08-20,11:24,1175.0,466.0,2.52
IREN,2025-08-20,11:26,4881.0,1668.2,2.93
IREN,2025-08-20,11:28,200.0,493.8,0.41
IREN,2025-08-20,11:30,430.0,762.2,0.56
IREN,2025-08-20,11:32,650.0,1142.8,0.57
IREN,2025-08-20,11:34,977.0,600.8,1.63
IREN,2025-08-20,11:36,3232.0,827.0,3.91
IREN,2025-08-20,11:38,1319.0,1898.2,0.69
IREN,2025-08-20,11:40,300.0,914.8,0.33
IREN,2025-08-20,11:42,1365.0,3649.4,0.37
IREN,2025-08-20,11:44,2123.0,904.4,2.35
IREN,2025-08-20,11:46,1561.0,399.4,3.91
IREN,2025-08-20,11:48,431.0,236.2,1.82
IREN,2025-08-20,11:50,143.0,260.4,0.55
IREN,2025-08-20,11:52,0.0,81.2,0.0
IREN,2025-08-20,11:54,346.0,821.6,0.42
IREN,2025-08-20,11:56,0.0,384.2,0.0
IREN,2025-08-20,11:58,581.0,581.2,1.0
IREN,2025-08-20,12:00,23870.0,5292.0,4.51
IREN,2025-08-20,12:02,200.0,541.8,0.37
IREN,2025-08-20,12:04,1719.0,1105.8,1.55
IREN,2025-08-20,12:06,835.0,392.8,2.13
IREN,2025-08-20,12:08,100.0,249.2,0.4
IREN,2025-08-20,12:10,716.0,295.2,2.43
IREN,2025-08-20,12:12,0.0,287.0,0.0
IREN,2025-08-20,12:14,1335.0,335.2,3.98
IREN,2025-08-20,12:16,0.0,176.2,0.0
IREN,2025-08-20,12:18,0.0,311.8,0.0
IREN,2025-08-20,12:20,100.0,344.4,0.29
IREN,2025-08-20,12:22,100.0,320.0,0.31
IREN,2025-08-20,12:24,200.0,581.8,0.34
IREN,2025-08-20,12:26,0.0,656.6,0.0
IREN,2025-08-20,12:28,100.0,647.6,0.15
IREN,2025-08-20,12:30,0.0,1685.0,0.0
IREN,2025-08-20,12:32,300.0,661.4,0.45
IREN,2025-08-20,12:34,0.0,243.8,0.0
IREN,2025-08-20,12:36,878.0,514.0,1.71
IREN,2025-08-20,12:38,180.0,1620.6,0.11
IREN,2025-08-20,12:40,200.0,581.0,0.34
IREN,2025-08-20,12:42,1030.0,2582.0,0.4
IREN,2025-08-20,12:44,0.0,253.0,0.0
IREN,2025-08-20,12:46,838.0,1110.0,0.75
IREN,2025-08-20,12:48,100.0,102.0,0.98
IREN,2025-08-20,12:50,150.0,310.0,0.48
IREN,2025-08-20,12:52,684.0,833.4,0.82
IREN,2025-08-20,12:54,2580.0,959.8,2.69
IREN,2025-08-20,12:56,18359.0,5508.2,3.33
IREN,2025-08-20,12:58,370.0,600.2,0.62
IREN,2025-08-20,13:00,0.0,420.8,0.0
IREN,2025-08-20,13:02,1100.0,775.0,1.42
IREN,2025-08-20,13:04,1145.0,465.0,2.46
IREN,2025-08-20,13:06,495.0,322.2,1.54
IREN,2025-08-20,13:08,100.0,174.4,0.57
IREN,2025-08-20,13:10,850.0,1680.4,0.51
IREN,2025-08-20,13:12,0.0,258.0,0.0
IREN,2025-08-20,13:14,0.0,126.4,0.0
IREN,2025-08-20,13:16,200.0,611.2,0.33
IREN,2025-08-20,13:18,1033.0,1607.0,0.64
IREN,2025-08-20,13:20,0.0,95.4,0.0
IREN,2025-08-20,13:22,0.0,228.0,0.0
IREN,2025-08-20,13:24,665.0,1804.0,0.37
IREN,2025-08-20,13:26,1210.0,871.0,1.39
IREN,2025-08-20,13:28,1100.0,678.0,1.62
IREN,2025-08-20,13:30,1826.0,2480.4,0.74
IREN,2025-08-20,13:32,115.0,548.4,0.21
IREN,2025-08-20,13:34,100.0,377.0,0.27
IREN,2025-08-20,13:36,250.0,288.0,0.87
IREN,2025-08-20,13:38,1290.0,1574.4,0.82
IREN,2025-08-20,13:40,800.0,220.8,3.62
IREN,2025-08-20,13:42,396.0,653.6,0.61
IREN,2025-08-20,13:44,500.0,120.0,4.17
IREN,2025-08-20,13:46,0.0,0.0,
