Symbol,Date,Time,Volume,Avg_volume,Rvol
MU,2025-08-20,11:00,744.0,944.3333333333334,0.79
MU,2025-08-20,11:02,100.0,715.2,0.14
MU,2025-08-20,11:04,100.0,166.6,0.6
MU,2025-08-20,11:06,0.0,157.8,0.0
MU,2025-08-20,11:08,325.0,296.2,1.1
MU,2025-08-20,11:10,0.0,584.6,0.0
MU,2025-08-20,11:12,235.0,443.2,0.53
MU,2025-08-20,11:14,911.0,210.2,4.33
MU,2025-08-20,11:16,489.0,565.8,0.86
MU,2025-08-20,11:18,200.0,142.4,1.4
MU,2025-08-20,11:20,0.0,20.0,0.0
MU,2025-08-20,11:22,100.0,545.8,0.18
MU,2025-08-20,11:24,395.0,378.8,1.04
MU,2025-08-20,11:26,222.0,183.2,1.21
MU,2025-08-20,11:28,235.0,47.0,5.0
MU,2025-08-20,11:30,0.0,123.8,0.0
MU,2025-08-20,11:32,15884.0,3176.8,5.0
MU,2025-08-20,11:34,7170.0,1524.0,4.7
MU,2025-08-20,11:36,6036.0,1230.4,4.91
MU,2025-08-20,11:38,500.0,399.6,1.25
MU,2025-08-20,11:40,3558.0,771.6,4.61
MU,2025-08-20,11:42,3338.0,703.6,4.74
MU,2025-08-20,11:44,0.0,26.0,0.0
MU,2025-08-20,11:46,1067.0,513.4,2.08
MU,2025-08-20,11:48,672.0,166.4,4.04
MU,2025-08-20,11:50,360.0,130.0,2.77
MU,2025-08-20,11:52,720.0,202.0,3.56
MU,2025-08-20,11:54,100.0,20.0,5.0
MU,2025-08-20,11:56,0.0,488.4,0.0
MU,2025-08-20,11:58,100.0,110.6,0.9
MU,2025-08-20,12:00,520.0,104.0,5.0
MU,2025-08-20,12:02,0.0,213.4,0.0
MU,2025-08-20,12:04,100.0,824.2,0.12
MU,2025-08-20,12:06,0.0,26.0,0.0
MU,2025-08-20,12:08,370.0,156.0,2.37
MU,2025-08-20,12:10,4857.0,971.4,5.0
MU,2025-08-20,12:12,2015.0,500.8,4.02
MU,2025-08-20,12:14,0.0,49.0,0.0
MU,2025-08-20,12:16,0.0,146.0,0.0
MU,2025-08-20,12:18,0.0,28.0,0.0
MU,2025-08-20,12:20,4761.0,1264.2,3.77
MU,2025-08-20,12:22,1600.0,442.8,3.61
MU,2025-08-20,12:24,1825.0,365.0,5.0
MU,2025-08-20,12:26,6044.0,1208.8,5.0
MU,2025-08-20,12:28,3307.0,661.4,5.0
MU,2025-08-20,12:30,724.0,144.8,5.0
MU,2025-08-20,12:32,585.0,117.0,5.0
MU,2025-08-20,12:34,950.0,361.0,2.63
MU,2025-08-20,12:36,933.0,186.6,5.0
MU,2025-08-20,12:38,4725.0,965.6,4.89
MU,2025-08-20,12:40,2147.0,429.4,5.0
MU,2025-08-20,12:42,3976.0,874.8,4.55
MU,2025-08-20,12:44,2895.0,579.0,5.0
MU,2025-08-20,12:46,8655.0,1731.0,5.0
MU,2025-08-20,12:48,3631.0,746.2,4.87
MU,2025-08-20,12:50,11955.0,2459.2,4.86
MU,2025-08-20,12:52,3913.0,887.4,4.41
MU,2025-08-20,12:54,2566.0,513.2,5.0
MU,2025-08-20,12:56,700.0,216.0,3.24
MU,2025-08-20,12:58,2403.0,504.6,4.76
MU,2025-08-20,13:00,700.0,140.0,5.0
MU,2025-08-20,13:02,647.0,153.6,4.21
MU,2025-08-20,13:04,339.0,67.8,5.0
MU,2025-08-20,13:06,531.0,300.4,1.77
MU,2025-08-20,13:08,800.0,232.4,3.44
MU,2025-08-20,13:10,150.0,106.4,1.41
MU,2025-08-20,13:12,100.0,20.0,5.0
MU,2025-08-20,13:14,1659.0,411.0,4.04
MU,2025-08-20,13:16,0.0,30.0,0.0
MU,2025-08-20,13:18,0.0,0.0,
MU,2025-08-20,13:20,0.0,0.0,
MU,2025-08-20,13:22,0.0,0.0,
MU,2025-08-20,13:24,0.0,126.0,0.0
MU,2025-08-20,13:26,200.0,90.0,2.22
MU,2025-08-20,13:28,0.0,0.0,
MU,2025-08-20,13:30,0.0,94.0,0.0
MU,2025-08-20,13:32,300.0,561.2,0.53
MU,2025-08-20,13:34,0.0,224.2,0.0
MU,2025-08-20,13:36,2770.0,554.0,5.0
MU,2025-08-20,13:38,566.0,273.6,2.07
MU,2025-08-20,13:40,623.0,184.6,3.37
MU,2025-08-20,13:42,916.0,203.2,4.51
MU,2025-08-20,13:44,2300.0,701.0,3.28
MU,2025-08-20,13:46,180.0,56.0,3.21
MU,2025-08-20,13:48,3944.0,2686.4,1.47
MU,2025-08-20,13:50,2616.0,980.8,2.67
MU,2025-08-20,13:52,10916.0,2748.6,3.97
MU,2025-08-20,13:54,6730.0,1484.8,4.53
MU,2025-08-20,13:56,2948.0,797.0,3.7
MU,2025-08-20,13:58,4819.0,963.8,5.0
MU,2025-08-20,14:00,27269.0,5776.0,4.72
MU,2025-08-20,14:02,4062.0,1137.2,3.57
MU,2025-08-20,14:04,4120.0,983.0,4.19
MU,2025-08-20,14:06,20070.0,4477.4,4.48
MU,2025-08-20,14:08,7327.0,1580.6,4.64
MU,2025-08-20,14:10,3180.0,1145.0,2.78
MU,2025-08-20,14:12,2541.0,614.2,4.14
MU,2025-08-20,14:14,900.0,60.0,15.0
