Symbol,Date,Time,Volume,Avg_volume,Rvol
NU,2025-08-20,11:00,5273.0,4280.5,1.23
NU,2025-08-20,11:02,625.0,1240.0,0.5
NU,2025-08-20,11:04,4300.0,1422.2,3.02
NU,2025-08-20,11:06,1099.0,745.2,1.47
NU,2025-08-20,11:08,0.0,324.0,0.0
NU,2025-08-20,11:10,0.0,423.2,0.0
NU,2025-08-20,11:12,274.0,1815.4,0.15
NU,2025-08-20,11:14,0.0,723.0,0.0
NU,2025-08-20,11:16,0.0,402.0,0.0
NU,2025-08-20,11:18,0.0,42.0,0.0
NU,2025-08-20,11:20,9660.0,2122.0,4.55
NU,2025-08-20,11:22,0.0,409.2,0.0
NU,2025-08-20,11:24,2355.0,514.2,4.58
NU,2025-08-20,11:26,3477.0,1453.4,2.39
NU,2025-08-20,11:28,0.0,333.6,0.0
NU,2025-08-20,11:30,0.0,2129.6,0.0
NU,2025-08-20,11:32,3719.0,951.4,3.91
NU,2025-08-20,11:34,1300.0,535.0,2.43
NU,2025-08-20,11:36,300.0,345.0,0.87
NU,2025-08-20,11:38,547.0,717.6,0.76
NU,2025-08-20,11:40,4000.0,1067.2,3.75
NU,2025-08-20,11:42,4339.0,1401.0,3.1
NU,2025-08-20,11:44,0.0,1909.0,0.0
NU,2025-08-20,11:46,8648.0,2867.6,3.02
NU,2025-08-20,11:48,700.0,161.8,4.33
NU,2025-08-20,11:50,3591.0,1078.2,3.33
NU,2025-08-20,11:52,0.0,250.0,0.0
NU,2025-08-20,11:54,0.0,79.6,0.0
NU,2025-08-20,11:56,0.0,106.0,0.0
NU,2025-08-20,11:58,0.0,1531.6,0.0
NU,2025-08-20,12:00,0.0,739.8,0.0
NU,2025-08-20,12:02,0.0,852.6,0.0
NU,2025-08-20,12:04,0.0,3535.4,0.0
NU,2025-08-20,12:06,3678.0,775.6,4.74
NU,2025-08-20,12:08,10235.0,2219.2,4.61
NU,2025-08-20,12:10,11915.0,2993.2,3.98
NU,2025-08-20,12:12,0.0,966.8,0.0
NU,2025-08-20,12:14,380.0,134.6,2.82
NU,2025-08-20,12:16,183.0,156.6,1.17
NU,2025-08-20,12:18,100.0,173.8,0.58
NU,2025-08-20,12:20,3603.0,720.6,5.0
NU,2025-08-20,12:22,0.0,109.6,0.0
NU,2025-08-20,12:24,477.0,212.4,2.25
NU,2025-08-20,12:26,11734.0,2926.0,4.01
NU,2025-08-20,12:28,300.0,724.6,0.41
NU,2025-08-20,12:30,400.0,703.6,0.57
NU,2025-08-20,12:32,200.0,40.0,5.0
NU,2025-08-20,12:34,170.0,63.6,2.67
NU,2025-08-20,12:36,0.0,300.0,0.0
NU,2025-08-20,12:38,0.0,60.0,0.0
NU,2025-08-20,12:40,610.0,122.0,5.0
NU,2025-08-20,12:42,0.0,153.4,0.0
NU,2025-08-20,12:44,0.0,144.4,0.0
NU,2025-08-20,12:46,200.0,318.8,0.63
NU,2025-08-20,12:48,0.0,20.0,0.0
NU,2025-08-20,12:50,1740.0,4903.0,0.35
NU,2025-08-20,12:52,0.0,77.8,0.0
NU,2025-08-20,12:54,2223.0,3397.6,0.65
NU,2025-08-20,12:56,6345.0,14241.8,0.45
NU,2025-08-20,12:58,300.0,1956.2,0.15
NU,2025-08-20,13:00,0.0,1600.4,0.0
NU,2025-08-20,13:02,0.0,765.4,0.0
NU,2025-08-20,13:04,300.0,667.2,0.45
NU,2025-08-20,13:06,4400.0,2671.4,1.65
NU,2025-08-20,13:08,290.0,78.0,3.72
NU,2025-08-20,13:10,200.0,60.0,3.33
NU,2025-08-20,13:12,0.0,80.0,0.0
NU,2025-08-20,13:14,0.0,100.0,0.0
NU,2025-08-20,13:16,100.0,2828.2,0.04
NU,2025-08-20,13:18,100.0,3234.8,0.03
NU,2025-08-20,13:20,0.0,359.8,0.0
