Symbol,Date,Time,Volume,Avg_volume,Rvol
SBET,2025-08-20,11:00,11793.0,15719.6,0.75
SBET,2025-08-20,11:02,2524.0,9772.4,0.26
SBET,2025-08-20,11:04,5002.0,4142.4,1.21
SBET,2025-08-20,11:06,2747.0,6018.0,0.46
SBET,2025-08-20,11:08,5675.0,4224.4,1.34
SBET,2025-08-20,11:10,14461.0,7856.6,1.84
SBET,2025-08-20,11:12,12455.0,4949.4,2.52
SBET,2025-08-20,11:14,13973.0,6481.2,2.16
SBET,2025-08-20,11:16,9506.0,3233.2,2.94
SBET,2025-08-20,11:18,880.0,7904.2,0.11
SBET,2025-08-20,11:20,1884.0,2189.2,0.86
SBET,2025-08-20,11:22,2552.0,3836.4,0.67
SBET,2025-08-20,11:24,1245.0,2699.4,0.46
SBET,2025-08-20,11:26,3288.0,2727.2,1.21
SBET,2025-08-20,11:28,1383.0,5148.8,0.27
SBET,2025-08-20,11:30,5911.0,6434.2,0.92
SBET,2025-08-20,11:32,609.0,5458.6,0.11
SBET,2025-08-20,11:34,272.0,2127.0,0.13
SBET,2025-08-20,11:36,3661.0,3971.0,0.92
SBET,2025-08-20,11:38,6176.0,3569.8,1.73
SBET,2025-08-20,11:40,4662.0,1844.8,2.53
SBET,2025-08-20,11:42,5683.0,2895.4,1.96
SBET,2025-08-20,11:44,7374.0,2523.2,2.92
SBET,2025-08-20,11:46,12961.0,8638.8,1.5
SBET,2025-08-20,11:48,1835.0,2171.8,0.84
SBET,2025-08-20,11:50,2973.0,7603.0,0.39
SBET,2025-08-20,11:52,2005.0,3857.0,0.52
SBET,2025-08-20,11:54,9450.0,6744.2,1.4
SBET,2025-08-20,11:56,12103.0,4109.0,2.95
SBET,2025-08-20,11:58,5975.0,3434.4,1.74
SBET,2025-08-20,12:00,1408.0,4497.4,0.31
SBET,2025-08-20,12:02,1100.0,3596.2,0.31
SBET,2025-08-20,12:04,2395.0,2525.2,0.95
SBET,2025-08-20,12:06,1359.0,3844.0,0.35
SBET,2025-08-20,12:08,689.0,5869.2,0.12
SBET,2025-08-20,12:10,811.0,9159.8,0.09
SBET,2025-08-20,12:12,0.0,4983.8,0.0
SBET,2025-08-20,12:14,710.0,4822.0,0.15
SBET,2025-08-20,12:16,500.0,2844.2,0.18
SBET,2025-08-20,12:18,1320.0,3583.4,0.37
SBET,2025-08-20,12:20,400.0,8584.0,0.05
SBET,2025-08-20,12:22,1090.0,4999.2,0.22
SBET,2025-08-20,12:24,1151.0,1782.0,0.65
SBET,2025-08-20,12:26,5466.0,4673.8,1.17
SBET,2025-08-20,12:28,423.0,2193.4,0.19
SBET,2025-08-20,12:30,0.0,3659.0,0.0
SBET,2025-08-20,12:32,737.0,730.4,1.01
SBET,2025-08-20,12:34,8970.0,3992.0,2.25
SBET,2025-08-20,12:36,972.0,4655.2,0.21
SBET,2025-08-20,12:38,2437.0,3148.2,0.77
SBET,2025-08-20,12:40,0.0,4520.4,0.0
SBET,2025-08-20,12:42,1356.0,3726.4,0.36
SBET,2025-08-20,12:44,410.0,5210.0,0.08
SBET,2025-08-20,12:46,500.0,5071.4,0.1
SBET,2025-08-20,12:48,2258.0,3118.0,0.72
SBET,2025-08-20,12:50,300.0,2763.4,0.11
SBET,2025-08-20,12:52,9652.0,6643.8,1.45
SBET,2025-08-20,12:54,2580.0,1553.2,1.66
SBET,2025-08-20,12:56,110.0,1424.6,0.08
SBET,2025-08-20,12:58,1710.0,1595.4,1.07
SBET,2025-08-20,13:00,2110.0,3965.6,0.53
SBET,2025-08-20,13:02,11636.0,4483.2,2.6
SBET,2025-08-20,13:04,2823.0,1905.8,1.48
SBET,2025-08-20,13:06,200.0,5682.0,0.04
SBET,2025-08-20,13:08,100.0,1368.8,0.07
SBET,2025-08-20,13:10,410.0,1422.0,0.29
SBET,2025-08-20,13:12,0.0,1597.6,0.0
SBET,2025-08-20,13:14,940.0,987.8,0.95
SBET,2025-08-20,13:16,586.0,1974.6,0.3
SBET,2025-08-20,13:18,200.0,255.2,0.78
SBET,2025-08-20,13:20,110.0,718.6,0.15
SBET,2025-08-20,13:22,374.0,275.4,1.36
SBET,2025-08-20,13:24,287.0,262.6,1.09
SBET,2025-08-20,13:26,0.0,374.8,0.0
SBET,2025-08-20,13:28,810.0,2064.2,0.39
SBET,2025-08-20,13:30,3823.0,6147.4,0.62
SBET,2025-08-20,13:32,2910.0,2235.8,1.3
SBET,2025-08-20,13:34,1500.0,1254.6,1.2
SBET,2025-08-20,13:36,1630.0,1238.4,1.32
SBET,2025-08-20,13:38,200.0,2568.6,0.08
SBET,2025-08-20,13:40,319.0,1450.4,0.22
SBET,2025-08-20,13:42,1815.0,11583.2,0.16
SBET,2025-08-20,13:44,110.0,973.4,0.11
SBET,2025-08-20,13:46,2014.0,1415.8,1.42
