Symbol,Date,Time,Volume,Avg_volume,Rvol
SMR,2025-08-20,11:00,2718.0,1667.4,1.63
SMR,2025-08-20,11:02,604.0,872.6,0.69
SMR,2025-08-20,11:04,700.0,526.4,1.33
SMR,2025-08-20,11:06,2540.0,759.4,3.34
SMR,2025-08-20,11:08,1230.0,1640.8,0.75
SMR,2025-08-20,11:10,1540.0,886.6,1.74
SMR,2025-08-20,11:12,2946.0,1310.6,2.25
SMR,2025-08-20,11:14,2832.0,985.6,2.87
SMR,2025-08-20,11:16,1503.0,574.4,2.62
SMR,2025-08-20,11:18,725.0,145.0,5.0
SMR,2025-08-20,11:20,595.0,231.2,2.57
SMR,2025-08-20,11:22,5069.0,1117.0,4.54
SMR,2025-08-20,11:24,340.0,286.2,1.19
SMR,2025-08-20,11:26,1238.0,624.6,1.98
SMR,2025-08-20,11:28,216.0,459.0,0.47
SMR,2025-08-20,11:30,872.0,427.0,2.04
SMR,2025-08-20,11:32,100.0,145.4,0.69
SMR,2025-08-20,11:34,3289.0,1161.8,2.83
SMR,2025-08-20,11:36,0.0,142.6,0.0
SMR,2025-08-20,11:38,309.0,769.4,0.4
SMR,2025-08-20,11:40,0.0,325.4,0.0
SMR,2025-08-20,11:42,2428.0,631.4,3.85
SMR,2025-08-20,11:44,502.0,439.0,1.14
SMR,2025-08-20,11:46,2696.0,982.8,2.74
SMR,2025-08-20,11:48,2166.0,697.4,3.11
SMR,2025-08-20,11:50,747.0,281.8,2.65
SMR,2025-08-20,11:52,581.0,287.0,2.02
SMR,2025-08-20,11:54,3427.0,772.2,4.44
SMR,2025-08-20,11:56,4796.0,959.2,5.0
SMR,2025-08-20,11:58,100.0,87.0,1.15
SMR,2025-08-20,12:00,322.0,167.2,1.93
SMR,2025-08-20,12:02,1574.0,503.4,3.13
SMR,2025-08-20,12:04,2505.0,1967.8,1.27
SMR,2025-08-20,12:06,1403.0,536.6,2.61
SMR,2025-08-20,12:08,300.0,463.4,0.65
SMR,2025-08-20,12:10,0.0,454.6,0.0
SMR,2025-08-20,12:12,1064.0,946.0,1.12
SMR,2025-08-20,12:14,0.0,393.0,0.0
SMR,2025-08-20,12:16,0.0,318.0,0.0
SMR,2025-08-20,12:18,100.0,266.8,0.37
SMR,2025-08-20,12:20,1566.0,893.4,1.75
SMR,2025-08-20,12:22,100.0,275.0,0.36
SMR,2025-08-20,12:24,973.0,546.8,1.78
SMR,2025-08-20,12:26,1408.0,534.4,2.63
SMR,2025-08-20,12:28,0.0,286.0,0.0
SMR,2025-08-20,12:30,300.0,175.6,1.71
SMR,2025-08-20,12:32,100.0,604.0,0.17
SMR,2025-08-20,12:34,100.0,171.0,0.58
SMR,2025-08-20,12:36,0.0,612.2,0.0
SMR,2025-08-20,12:38,0.0,153.6,0.0
SMR,2025-08-20,12:40,778.0,428.2,1.82
SMR,2025-08-20,12:42,100.0,68.4,1.46
SMR,2025-08-20,12:44,0.0,215.6,0.0
SMR,2025-08-20,12:46,463.0,183.2,2.53
SMR,2025-08-20,12:48,494.0,232.8,2.12
SMR,2025-08-20,12:50,0.0,0.0,
SMR,2025-08-20,12:52,327.0,65.4,5.0
SMR,2025-08-20,12:54,1580.0,376.0,4.2
SMR,2025-08-20,12:56,0.0,22.0,0.0
SMR,2025-08-20,12:58,0.0,185.0,0.0
SMR,2025-08-20,13:00,240.0,352.0,0.68
SMR,2025-08-20,13:02,0.0,135.2,0.0
SMR,2025-08-20,13:04,369.0,191.2,1.93
SMR,2025-08-20,13:06,5204.0,1367.0,3.81
SMR,2025-08-20,13:08,500.0,220.0,2.27
SMR,2025-08-20,13:10,0.0,193.2,0.0
SMR,2025-08-20,13:12,401.0,80.2,5.0
SMR,2025-08-20,13:14,217.0,63.4,3.42
SMR,2025-08-20,13:16,418.0,213.2,1.96
SMR,2025-08-20,13:18,0.0,104.4,0.0
SMR,2025-08-20,13:20,0.0,148.0,0.0
SMR,2025-08-20,13:22,0.0,112.2,0.0
SMR,2025-08-20,13:24,100.0,100.6,0.99
SMR,2025-08-20,13:26,0.0,204.4,0.0
SMR,2025-08-20,13:28,311.0,82.2,3.78
SMR,2025-08-20,13:30,100.0,436.0,0.23
SMR,2025-08-20,13:32,2700.0,540.0,5.0
SMR,2025-08-20,13:34,1347.0,965.2,1.4
SMR,2025-08-20,13:36,0.0,73.2,0.0
SMR,2025-08-20,13:38,0.0,105.4,0.0
SMR,2025-08-20,13:40,300.0,260.0,1.15
SMR,2025-08-20,13:42,0.0,80.0,0.0
SMR,2025-08-20,13:44,212.0,182.4,1.16
SMR,2025-08-20,13:46,0.0,146.2,0.0
