Symbol,Date,Time,Volume,Avg_volume,Rvol
SOFI,2025-08-20,11:00,10254.0,7091.0,1.45
SOFI,2025-08-20,11:02,11044.0,4217.2,2.62
SOFI,2025-08-20,11:04,795.0,1193.2,0.67
SOFI,2025-08-20,11:06,3385.0,1087.2,3.11
SOFI,2025-08-20,11:08,3625.0,1245.0,2.91
SOFI,2025-08-20,11:10,4321.0,2359.2,1.83
SOFI,2025-08-20,11:12,0.0,2403.6,0.0
SOFI,2025-08-20,11:14,1493.0,1517.0,0.98
SOFI,2025-08-20,11:16,100.0,2988.4,0.03
SOFI,2025-08-20,11:18,500.0,2171.8,0.23
SOFI,2025-08-20,11:20,1730.0,3618.0,0.48
SOFI,2025-08-20,11:22,460.0,1948.6,0.24
SOFI,2025-08-20,11:24,7462.0,3167.2,2.36
SOFI,2025-08-20,11:26,2595.0,1655.8,1.57
SOFI,2025-08-20,11:28,3314.0,1854.6,1.79
SOFI,2025-08-20,11:30,543.0,1717.6,0.32
SOFI,2025-08-20,11:32,5823.0,2071.6,2.81
SOFI,2025-08-20,11:34,6101.0,1850.2,3.3
SOFI,2025-08-20,11:36,1490.0,988.4,1.51
SOFI,2025-08-20,11:38,600.0,2902.8,0.21
SOFI,2025-08-20,11:40,920.0,566.0,1.63
SOFI,2025-08-20,11:42,3490.0,901.0,3.87
SOFI,2025-08-20,11:44,400.0,1321.6,0.3
SOFI,2025-08-20,11:46,0.0,638.0,0.0
SOFI,2025-08-20,11:48,100.0,3795.2,0.03
SOFI,2025-08-20,11:50,5217.0,1631.0,3.2
SOFI,2025-08-20,11:52,1018.0,1119.0,0.91
SOFI,2025-08-20,11:54,200.0,388.0,0.52
SOFI,2025-08-20,11:56,1500.0,458.4,3.27
SOFI,2025-08-20,11:58,3498.0,1140.2,3.07
SOFI,2025-08-20,12:00,2406.0,2411.8,1.0
SOFI,2025-08-20,12:02,1646.0,329.2,5.0
SOFI,2025-08-20,12:04,26341.0,5308.2,4.96
SOFI,2025-08-20,12:06,2673.0,2222.0,1.2
SOFI,2025-08-20,12:08,700.0,443.0,1.58
SOFI,2025-08-20,12:10,0.0,633.6,0.0
SOFI,2025-08-20,12:12,4147.0,1661.0,2.5
SOFI,2025-08-20,12:14,300.0,200.0,1.5
SOFI,2025-08-20,12:16,1370.0,658.4,2.08
SOFI,2025-08-20,12:18,1138.0,658.8,1.73
SOFI,2025-08-20,12:20,2399.0,1320.6,1.82
SOFI,2025-08-20,12:22,900.0,1189.2,0.76
SOFI,2025-08-20,12:24,300.0,1066.0,0.28
SOFI,2025-08-20,12:26,10389.0,2370.0,4.38
SOFI,2025-08-20,12:28,1948.0,1816.0,1.07
SOFI,2025-08-20,12:30,4202.0,1161.2,3.62
SOFI,2025-08-20,12:32,0.0,1555.2,0.0
SOFI,2025-08-20,12:34,2709.0,788.2,3.44
SOFI,2025-08-20,12:36,550.0,515.8,1.07
SOFI,2025-08-20,12:38,0.0,1356.6,0.0
SOFI,2025-08-20,12:40,6185.0,1263.0,4.9
SOFI,2025-08-20,12:42,5239.0,1646.6,3.18
SOFI,2025-08-20,12:44,120.0,706.0,0.17
SOFI,2025-08-20,12:46,3392.0,1181.4,2.87
SOFI,2025-08-20,12:48,3426.0,1229.2,2.79
SOFI,2025-08-20,12:50,1483.0,296.6,5.0
SOFI,2025-08-20,12:52,1254.0,582.4,2.15
SOFI,2025-08-20,12:54,1131.0,583.8,1.94
SOFI,2025-08-20,12:56,461.0,646.8,0.71
SOFI,2025-08-20,12:58,600.0,480.0,1.25
SOFI,2025-08-20,13:00,200.0,1239.6,0.16
SOFI,2025-08-20,13:02,1850.0,1839.6,1.01
SOFI,2025-08-20,13:04,714.0,425.4,1.68
SOFI,2025-08-20,13:06,18860.0,4218.4,4.47
SOFI,2025-08-20,13:08,300.0,337.8,0.89
SOFI,2025-08-20,13:10,320.0,248.0,1.29
SOFI,2025-08-20,13:12,400.0,178.0,2.25
SOFI,2025-08-20,13:14,5382.0,1407.6,3.82
SOFI,2025-08-20,13:16,0.0,830.0,0.0
SOFI,2025-08-20,13:18,0.0,1021.2,0.0
SOFI,2025-08-20,13:20,0.0,1077.0,0.0
