Symbol,Date,Time,Volume,Avg_volume,Rvol
TSLA,2025-08-20,11:00,8243.0,5518.0,1.49
TSLA,2025-08-20,11:02,6364.0,4058.0,1.57
TSLA,2025-08-20,11:04,4997.0,5885.0,0.85
TSLA,2025-08-20,11:06,3823.0,4242.6,0.9
TSLA,2025-08-20,11:08,10760.0,4713.6,2.28
TSLA,2025-08-20,11:10,843.0,2432.2,0.35
TSLA,2025-08-20,11:12,2314.0,3903.0,0.59
TSLA,2025-08-20,11:14,2983.0,1746.4,1.71
TSLA,2025-08-20,11:16,3373.0,2020.4,1.67
TSLA,2025-08-20,11:18,1959.0,899.8,2.18
TSLA,2025-08-20,11:20,321.0,727.2,0.44
TSLA,2025-08-20,11:22,909.0,3081.0,0.3
TSLA,2025-08-20,11:24,880.0,1567.4,0.56
TSLA,2025-08-20,11:26,1146.0,1549.8,0.74
TSLA,2025-08-20,11:28,1446.0,1126.8,1.28
TSLA,2025-08-20,11:30,460.0,1269.8,0.36
TSLA,2025-08-20,11:32,3747.0,2570.4,1.46
TSLA,2025-08-20,11:34,948.0,1171.2,0.81
TSLA,2025-08-20,11:36,1428.0,1019.8,1.4
TSLA,2025-08-20,11:38,300.0,526.0,0.57
TSLA,2025-08-20,11:40,100.0,381.0,0.26
TSLA,2025-08-20,11:42,600.0,985.0,0.61
TSLA,2025-08-20,11:44,0.0,1441.6,0.0
TSLA,2025-08-20,11:46,2247.0,689.4,3.26
TSLA,2025-08-20,11:48,730.0,479.4,1.52
TSLA,2025-08-20,11:50,1494.0,1046.8,1.43
TSLA,2025-08-20,11:52,1500.0,1466.6,1.02
TSLA,2025-08-20,11:54,170.0,755.4,0.23
TSLA,2025-08-20,11:56,447.0,374.0,1.2
TSLA,2025-08-20,11:58,1620.0,674.0,2.4
TSLA,2025-08-20,12:00,2298.0,1194.8,1.92
TSLA,2025-08-20,12:02,726.0,782.6,0.93
TSLA,2025-08-20,12:04,391.0,856.4,0.46
TSLA,2025-08-20,12:06,846.0,817.6,1.03
TSLA,2025-08-20,12:08,2397.0,1192.6,2.01
TSLA,2025-08-20,12:10,700.0,702.8,1.0
TSLA,2025-08-20,12:12,659.0,1309.4,0.5
TSLA,2025-08-20,12:14,500.0,639.2,0.78
TSLA,2025-08-20,12:16,856.0,1333.0,0.64
TSLA,2025-08-20,12:18,1700.0,2027.0,0.84
TSLA,2025-08-20,12:20,400.0,944.6,0.42
TSLA,2025-08-20,12:22,2175.0,571.6,3.81
TSLA,2025-08-20,12:24,1973.0,672.2,2.94
TSLA,2025-08-20,12:26,4461.0,1482.2,3.01
TSLA,2025-08-20,12:28,785.0,826.8,0.95
TSLA,2025-08-20,12:30,541.0,1033.4,0.52
TSLA,2025-08-20,12:32,300.0,280.0,1.07
TSLA,2025-08-20,12:34,919.0,1085.6,0.85
TSLA,2025-08-20,12:36,100.0,1161.4,0.09
TSLA,2025-08-20,12:38,596.0,359.0,1.66
TSLA,2025-08-20,12:40,900.0,785.6,1.15
TSLA,2025-08-20,12:42,1000.0,320.0,3.12
TSLA,2025-08-20,12:44,100.0,230.0,0.43
TSLA,2025-08-20,12:46,0.0,1098.4,0.0
TSLA,2025-08-20,12:48,1611.0,955.6,1.69
TSLA,2025-08-20,12:50,400.0,716.2,0.56
TSLA,2025-08-20,12:52,1155.0,1326.4,0.87
TSLA,2025-08-20,12:54,300.0,404.8,0.74
TSLA,2025-08-20,12:56,288.0,638.6,0.45
TSLA,2025-08-20,12:58,2632.0,1995.8,1.32
TSLA,2025-08-20,13:00,600.0,1255.0,0.48
TSLA,2025-08-20,13:02,764.0,665.2,1.15
TSLA,2025-08-20,13:04,731.0,525.2,1.39
TSLA,2025-08-20,13:06,100.0,339.2,0.29
TSLA,2025-08-20,13:08,223.0,697.6,0.32
TSLA,2025-08-20,13:10,680.0,758.4,0.9
TSLA,2025-08-20,13:12,1710.0,599.4,2.85
TSLA,2025-08-20,13:14,400.0,325.6,1.23
TSLA,2025-08-20,13:16,300.0,801.6,0.37
TSLA,2025-08-20,13:18,200.0,795.2,0.25
TSLA,2025-08-20,13:20,0.0,166.4,0.0
