Symbol,Date,Time,Volume,Avg_volume,Rvol
ZIM,2025-08-20,11:02,300.0,104.0,2.88
ZIM,2025-08-20,11:04,300.0,60.0,5.0
ZIM,2025-08-20,11:06,2491.0,577.8,4.31
ZIM,2025-08-20,11:08,0.0,22.2,0.0
ZIM,2025-08-20,11:10,0.0,381.2,0.0
ZIM,2025-08-20,11:12,6944.0,1448.8,4.79
ZIM,2025-08-20,11:14,1620.0,672.6,2.41
ZIM,2025-08-20,11:16,342.0,68.4,5.0
ZIM,2025-08-20,11:18,0.0,253.2,0.0
ZIM,2025-08-20,11:20,1700.0,632.0,2.69
ZIM,2025-08-20,11:22,0.0,20.0,0.0
ZIM,2025-08-20,11:24,433.0,86.6,5.0
ZIM,2025-08-20,11:26,300.0,60.0,5.0
ZIM,2025-08-20,11:28,0.0,0.0,
ZIM,2025-08-20,11:30,100.0,20.0,5.0
ZIM,2025-08-20,11:32,0.0,39.4,0.0
ZIM,2025-08-20,11:34,200.0,87.2,2.29
ZIM,2025-08-20,11:36,2700.0,570.0,4.74
ZIM,2025-08-20,11:38,876.0,311.2,2.81
ZIM,2025-08-20,11:40,280.0,96.0,2.92
ZIM,2025-08-20,11:42,0.0,0.0,
ZIM,2025-08-20,11:44,0.0,0.0,
ZIM,2025-08-20,11:46,100.0,20.0,5.0
ZIM,2025-08-20,11:48,0.0,0.0,
ZIM,2025-08-20,11:50,0.0,175.6,0.0
ZIM,2025-08-20,11:52,100.0,80.0,1.25
ZIM,2025-08-20,11:54,0.0,0.0,
ZIM,2025-08-20,11:56,0.0,0.0,
ZIM,2025-08-20,11:58,0.0,2547.6,0.0
ZIM,2025-08-20,12:00,100.0,162.8,0.61
ZIM,2025-08-20,12:02,0.0,0.0,
ZIM,2025-08-20,12:04,0.0,80.8,0.0
ZIM,2025-08-20,12:06,1997.0,719.4,2.78
ZIM,2025-08-20,12:08,16561.0,3312.2,5.0
ZIM,2025-08-20,12:10,1900.0,580.0,3.28
ZIM,2025-08-20,12:12,0.0,1516.0,0.0
ZIM,2025-08-20,12:14,400.0,1237.2,0.32
ZIM,2025-08-20,12:16,0.0,467.6,0.0
ZIM,2025-08-20,12:18,288.0,417.6,0.69
ZIM,2025-08-20,12:20,0.0,260.8,0.0
ZIM,2025-08-20,12:22,0.0,59.8,0.0
ZIM,2025-08-20,12:24,0.0,0.0,
ZIM,2025-08-20,12:26,0.0,0.0,
ZIM,2025-08-20,12:28,0.0,495.8,0.0
ZIM,2025-08-20,12:30,312.0,62.4,5.0
ZIM,2025-08-20,12:32,100.0,20.0,5.0
ZIM,2025-08-20,12:34,0.0,404.4,0.0
ZIM,2025-08-20,12:36,0.0,646.6,0.0
ZIM,2025-08-20,12:38,0.0,1016.8,0.0
ZIM,2025-08-20,12:40,0.0,262.6,0.0
ZIM,2025-08-20,12:42,0.0,220.8,0.0
ZIM,2025-08-20,12:44,0.0,20.0,0.0
ZIM,2025-08-20,12:46,0.0,253.4,0.0
ZIM,2025-08-20,12:48,0.0,0.0,
ZIM,2025-08-20,12:50,0.0,743.8,0.0
ZIM,2025-08-20,12:52,0.0,525.0,0.0
ZIM,2025-08-20,12:54,0.0,314.2,0.0
ZIM,2025-08-20,12:56,0.0,718.2,0.0
ZIM,2025-08-20,12:58,0.0,110.0,0.0
ZIM,2025-08-20,13:00,0.0,54.0,0.0
ZIM,2025-08-20,13:02,0.0,178.0,0.0
ZIM,2025-08-20,13:04,586.0,499.2,1.17
ZIM,2025-08-20,13:06,200.0,833.0,0.24
ZIM,2025-08-20,13:08,288.0,57.6,5.0
ZIM,2025-08-20,13:10,100.0,80.0,1.25
ZIM,2025-08-20,13:12,0.0,20.0,0.0
ZIM,2025-08-20,13:14,0.0,338.2,0.0
ZIM,2025-08-20,13:16,500.0,160.0,3.12
ZIM,2025-08-20,13:18,0.0,399.8,0.0
ZIM,2025-08-20,13:20,0.0,0.0,
ZIM,2025-08-20,13:22,0.0,149.4,0.0
ZIM,2025-08-20,13:24,0.0,137.2,0.0
ZIM,2025-08-20,13:26,0.0,0.0,
ZIM,2025-08-20,13:28,0.0,0.0,
ZIM,2025-08-20,13:30,0.0,0.0,
ZIM,2025-08-20,13:32,0.0,29.4,0.0
ZIM,2025-08-20,13:34,0.0,30.0,0.0
ZIM,2025-08-20,13:36,0.0,0.0,
ZIM,2025-08-20,13:38,0.0,291.8,0.0
ZIM,2025-08-20,13:40,0.0,210.4,0.0
ZIM,2025-08-20,13:42,0.0,148.2,0.0
ZIM,2025-08-20,13:44,8066.0,1613.2,5.0
ZIM,2025-08-20,13:46,35742.0,7148.4,5.0
ZIM,2025-08-20,13:48,1691.0,398.2,4.25
ZIM,2025-08-20,13:50,2632.0,549.0,4.79
ZIM,2025-08-20,13:52,100.0,1095.8,0.09
ZIM,2025-08-20,13:54,920.0,224.0,4.11
ZIM,2025-08-20,13:56,1042.0,228.4,4.56
ZIM,2025-08-20,13:58,6838.0,1367.6,5.0
ZIM,2025-08-20,14:00,122064.0,26304.4,4.64
ZIM,2025-08-20,14:02,4270.0,874.0,4.89
ZIM,2025-08-20,14:04,10936.0,2417.2,4.52
ZIM,2025-08-20,14:06,3807.0,761.4,5.0
ZIM,2025-08-20,14:08,71529.0,14325.8,4.99
ZIM,2025-08-20,14:10,10440.0,2108.0,4.95
ZIM,2025-08-20,14:12,7317.0,1603.4,4.56
ZIM,2025-08-20,14:14,0.0,0.0,
